fecha,semana_iso,corpus,diario,provincia,region,ciudad_origen,url_medio,titular,palabras_encontradas,cantidad_palabras
2026-06-01,2026-W23,provincial,CRÓNICA,Chubut,Patagonia,Comodoro Rivadavia,https://www.diariocronica.com.ar,ATE ratificó el paro por tres días en Chubut,paro,1
2026-06-01,2026-W23,provincial,LA ARENA,La Pampa,Patagonia,Santa Rosa,https://www.laarena.com.ar,Aprovechó una marcha por Agostina para pedir por su hija desaparecida y la encontró,marcha,1
2026-06-01,2026-W23,provincial,LA ARENA,La Pampa,Patagonia,Santa Rosa,https://www.laarena.com.ar,"La mamá de Agustina Fernández pidió ""Justicia"" para Agostina y convocó a una marcha en Santa Rosa",marcha,1
2026-06-01,2026-W23,provincial,LM NEUQUÉN,Neuquén,Patagonia,Neuquén,https://www.lmneuquen.com,Fue a una marcha por Agostina Vega para reclamar por su hija desaparecida y la encontró,marcha,1
2026-06-01,2026-W23,provincial,LA OPINIÓN AUSTRAL,Santa Cruz,Patagonia,Santa Cruz,https://www.laopinionaustral.com.ar,ADOSAC inicia su primera semana del año sin paro y rechaza la incorporación de UDA a la paritaria,paro,1
2026-06-01,2026-W23,provincial,NUEVO DÍA,Santa Cruz,Patagonia,Santa Cruz,https://www.eldiarionuevodia.com.ar,"ADOSAC irá a paritaria sin paro, pero advierte por descuentos",paro,1
2026-06-01,2026-W23,provincial,TIEMPO SUR,Santa Cruz,Patagonia,Santa Cruz,https://www.tiemposur.com.ar,"A 11 años de la primera movilización Convocan al ""Ni Una Menos"" el 3J",movilización,1
2026-06-01,2026-W23,provincial,TIEMPO SUR,Santa Cruz,Patagonia,Santa Cruz,https://www.tiemposur.com.ar,La encontraron Aprovechó la protesta por el caso Agostina para pedir ayuda por su hija desaparecida,protesta,1
2026-06-01,2026-W23,provincial,EL SUREÑO,Tierra del Fuego,Patagonia,Río Grande,https://www.surenio.com.ar,SUTEF: rechazo a la propuesta de Gobierno y paro de 48 horas,paro,1
2026-06-01,2026-W23,provincial,RED 23 NOTICIAS,Tierra del Fuego,Patagonia,Río Grande,https://www.red23noticias.com.ar,Médicos realizaron una protesta salarial en Río Grande,protesta,1
